verb,sentence,verb_idx,label,definition
flourished,"To their astonishment , the alfalfa plants flourished , doubling their foliage and weight",7,0,to grow luxuriantly : thrive
attacking,"Then two industry trade groups sued the state , attacking the lemon law 's constitutionality",9,1,to assail with unfriendly or bitter words
stories,"'' When I saw all the stories , I figured I better sell or I might get stuck , '' said one portfolio manager , who last week unloaded some shares of medium - sized OTC stocks rather than risk not being able to sell off the thinly traded shares if prices started to plunge",6,1,"to become blocked, wedged, or jammed"
strike,"Four new studies strongly suggest that heart disease can strike individuals with especially low amounts of high - density lipoproteins , or HDL -- the body 's so - called good cholesterol -- even if their total cholesterol level is below 200 milligrams per deciliter , an amount doctors currently think is safe",9,1,to strike at : hit
stepped,"The suit , filed against the unions representing pilots and machinists , stepped up the war over Eastern 's labor costs that has raged through the company , the Congress and the courts for more than a year",12,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
killed,"In 1983 , North Korean agents are believed to have set off a bomb in Rangoon , Burma , that killed four South Korean cabinet ministers and 13 other Koreans in what may have been an attempt on the life of then - President Chun Doo Hwan",20,0,to deprive of life : cause the death of
fixed,"Brokerage rates are fixed by the finance ministry , so discount brokerage is n't possible , unlike London where the fixed commissions were abolished in 1986",20,0,"to make firm, stable, or stationary"
flooded,"'' If the S & P would ' ve closed , sell orders would ' ve flooded New York '' and sent the stock market sharply lower , said one harried trader overlooking the raucous S & P trading pit",16,1,to fill abundantly or excessively
stepped,"Black & Decker Corp. stepped up pressure on American Standard Inc . , indicating that it might further sweeten its $ 65-a - share bid if financial information supports a higher figure",4,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
resting,He spent most days resting on a quilt in Beatrix Potter 's studio,4,0,to get rest by lying down ; especially : sleep
examining,SEC staffers have just begun examining corporate cleanup disclosures,5,0,to inquire into carefully : investigate
sticks,"When mixed with the blood of infected people , CBre3 sticks to the antibodies , causing a visually observable reaction",10,0,to hold to something firmly by or as if by adhesion
examines,"Herbert Weisberg , a political scientist at Ohio State University , analyzed national election data compiled by the University of Michigan and concluded , '' When one examines voting in the 1984 election , one finds the largest voting differences on the basis of race and income , followed by differences based on marital status , religion , gender , and region . '",27,0,to inquire into carefully : investigate
plowing,Tyson Foods said that despite Holly Farms ' rejection it was plowing ahead with its offer,11,1,to proceed steadily and laboriously
touches,"Mr. Groner touches down at the Orlando airport at 5:54 a.m . , and a dumpster - size container carrying our package is rolled onto a truck bound for a sorting center in Longwood , Fla",2,1,to make a brief or incidental stop on shore during a trip by water
filling,"'' In doing so , it would be filling the wishes of the U.S. government , which also is concerned that the dollar could rise too quickly",8,1,"satisfy , fulfill"
flew,The senator was so eager to appear with the governor at a campaign event July 1 that he awoke at 4:30 a.m. and flew his own twin - engine airplane to Dayton,23,0,"to operate (something, such as a balloon, aircraft, rocket, or spacecraft) in flight"
flying,"The route generates about $ 120 million in revenue for United , which has been flying it since 1983",15,0,"to operate (something, such as a balloon, aircraft, rocket, or spacecraft) in flight"
kicking,"The A 's won Monday 's opener , 3 - 2 , on a Henderson home run in the 14th inning , but were upstaged by Team Turmoil 's manager , Billy Martin , who was ejected after pulling his old stunt of kicking dirt on an umpire during a dispute",43,0,to strike out with the foot or feet
rests,Real power still rests with Pretoria just as it does with Jerusalem,3,1,to cause to be firmly fixed
missed,"He has been wrong on interest rates recently , again because he missed the full impact of the declining dollar , and he concedes that bond prices could fall temporarily",12,1,"to fail to comprehend, sense, or experience"
kill,Mr. Brooks tape - recorded one of the men present at the meeting saying that he believes Indians ritualistically kill and mutilate one another,19,0,to deprive of life : cause the death of
escape,"Frightened , I tried to escape this hybrid of Samir and Othman , but the faster I ran , the faster it pursued me",5,0,to get free of : break away from
besieged,"Though besieged by friends who '' want me to pick them a winner , '' he does n't bet often",1,1,to press with requests : importune
