txt_type,seg_id,sen_id,sentence,POS,words_label,words_gloss
F,fiction_17_v.2.txt,36,在 他 心目 中 ， 梅 小姐 是 姘头 兼 买主 ， 其 作用 一 是 供 他 玩乐 ， 二 是 买 他 的 情报 ， 除此之外 ， 别 无 他 用 ！,"['p','r','n','f','w','nr','n','v','n','v','n','w','r','n','m','v','v','r','v','w','m','v','v','r','u','n','w','l','w','d','v','r','v','ew']","['1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['表示动作、情状所涉及的处所、时间、范围等', 'NULL', 'NULL', '内,里面。与“外”相对', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '功用;功能', 'NULL']"
A,academic_18_v.2.txt,54,洪水 成灾 、 台风 经过 、 森林 失火 、 地震 发生 ， 以及 飞机 失事 、 火车 相撞 、 政权 变动 等等 ， 当地 人民 群众 及 与 事件 有关 的 人 的 关注 程度 ， 要 远远 超过 局外人 的 关注 程度 。,"['n','vn','w','n','vn','w','n','vn','w','n','vn','w','c','n','vn','w','n','vn','w','n','vn','u','w','s','n','n','c','p','n','v','u','n','u','vn','n','w','v','d','v','n','u','vn','n','ew']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0']","['NULL', 'NULL', 'NULL', 'NULL', '行程所过；通过', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '关心重视', 'NULL', 'NULL', '表示比较;估计', 'NULL', '超出；高于', 'NULL', 'NULL', '关心重视', 'NULL', 'NULL']"
F,fiction_02_v.2.txt,67,有 两 次 胡 容 来看 她 ， 恰好 我 不 在家 。,"['v','m','q','nr','nr','v','r','w','d','r','d','v','ew']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['表示不定指 。跟“某”的作用相近', 'NULL', 'NULL', 'NULL', '名字', 'NULL', '女性第三人称', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
A,academic_08_v.2.txt,23,它 对 人民 健康 ， 防病 治病 ， 提高 人 的 智能 、 体能 方面 起 着 重要 的 作用 。 ＂,"['r','p','n','an','w','v','v','w','v','n','u','n','w','n','n','v','u','a','u','n','ew','w']","['0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0']","['表示第三人称', '朝,向——用作虚词,表示动作的对象', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '使位置、程度、水平、数量、质量等方面比原来高', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '产生;发生', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
F,fiction_12_v.2.txt,77,春天 ， 妻子 在 院 门外 捡 到 只 受 了 枪 伤 、 口黄 还 没 褪 净 的 小 喜鹊 。,"['t','w','n','p','n','s','v','v','d','v','u','n','n','w','n','d','d','v','a','u','a','n','ew']","['0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['NULL', 'NULL', 'NULL', '表示动作、情状所涉及的处所、时间、范围等', 'NULL', 'NULL', 'NULL', '用作动词的补语,表示动作达到目的或有了结果', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '通“少”。年幼', 'NULL', 'NULL']"
F,fiction_16_v.2.txt,10,其他人 的 父亲 不 是 公社 领导 ， 就是 县 市 部长 局长 。,"['r','u','n','d','v','n','n','w','v','n','n','n','n','ew']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '集镇;城镇;城市', 'NULL', 'NULL', 'NULL']"
F,fiction_18_v.2.txt,41,乔 琦 对 她 大声 说 ：,"['nr','nr','p','r','d','v','w']","['0', '0', '0', '0', '0', '0', '0']","['NULL', 'NULL', '朝,向——用作虚词,表示动作的对象', '女性第三人称', 'NULL', 'NULL', 'NULL']"
F,fiction_03_v.2.txt,36,想不到 哪个 无聊 文人 为了 赚 稿费 ， 在 报 上 写 了 一 篇 文章 ， 说 现在 冒牌 蜂皇浆 很多 ， 有的 根本 不 含 蜂皇浆 ， 有的 连 蜂蜜 都 不 纯 。,"['l','r','a','n','p','v','n','w','p','n','f','v','u','m','q','n','w','v','t','b','n','m','w','r','d','d','v','n','w','r','u','n','d','d','a','ew']","['0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '表示动作、情状所涉及的处所、时间、范围等', 'NULL', '用在名词后，表示在某种事物的范围以内', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '容纳;包含', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
F,fiction_06_v.2.txt,72,秋仪 放下 筷子 迎 上去 ， 小萼 已经 慢慢 地 跪 了 下来 。,"['nr','v','n','v','v','w','nr','d','d','u','v','u','v','ew']","['0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['NULL', '把握着、提着或负载着的物件从高处放到低处', 'NULL', '面向着,正对着', '用在动词后：表示向前', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '用在动词后，表示动作的完成', 'NULL']"
F,fiction_02_v.2.txt,66,我们 不 懂 ， 不 懂 也 没 问 个 明白 ， 为什么 十几 年 过去 ， 妈 的 视力 差不多 等于 零 了 ， 翳 子 还 没有 蒙 上 她 的 眼睛 ？,"['r','d','v','w','d','v','d','d','v','q','a','w','r','m','q','v','w','n','u','n','l','v','m','y','w','g','k','c','d','v','f','r','b','n','ew']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0']","['NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '某个时间、某种状态已经消逝', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '亦作“ 等于 ”。等同于。多表示前后相等或差不多相等', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '用在动词后。表示动作的趋向或结果等', '女性第三人称', 'NULL', 'NULL', 'NULL']"
